peakid,pkname,pkname2,location,heightm,heightf,himal,region,open,unlisted,trekking,trekyear,restrict,phost,pstatus,pyear,pseason,pmonth,pday,pexpid,pcountry,psummiters,psmtnote,failed_exp,success_exp
KAGA,Kanta Gaton,Kangfu Gaton,Kanjiroba Himal (SE of Phoksumdo Tal),5910,19390,Kanjiroba,Kanjiroba-Far West,True,False,False,,Opened in 2002,Nepal only,Climbed,2009.0,Summer,Aug,16.0,KAGA09201,"France, Nepal","Jean-Rene Minelli, Abel Minelli, Eienne Minelli, Sarah Minelli, Pemba Jangbu Sherpa",1st official ascent,0,2
KAIP,Kaipuchonam,,Kanti Himal (WNW of Changdi on Tibetan border),6329,20764,Kanti/Palchung,Kanjiroba-Far West,True,False,False,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,,0,0
KAKU,Kang Kuru,,"Mustang Himal (NNE of Tsartse, WSW of Ghami village)",6344,20814,Mukut/Mustang,Dhaulagiri-Mukut,False,True,False,,,Nepal only,Climbed,2008.0,Spring,Apr,16.0,KAKU08101,USA,"Peter Athans, Theodore Hessler",,0,1
KALI,Kali Himal,"Chota Ri, Baruntse North",Khumbu Himal (NW of Baruntse),6985,22917,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Opened in 2002,Nepal only,Climbed,1983.0,Spring,Apr,5.0,KALI83101,Netherlands,"Joost Ubblink, Edwin Van Nieuwkerk",,0,4
KAN1,Kande Hiunchuli North  I,Sisne Himal,Kanjiroba Himal (NE of Kande Huinchuli),6521,21394,Kanjiroba,Kanjiroba-Far West,False,True,False,,,Nepal only,Unclimbed,,,,,,,Unclimbed,,4,0
KAN2,Kande Hiunchuli North  II,,Kanjiroba Himal (NE of Kande Huinchuli),6471,21230,Kanjiroba,Kanjiroba-Far West,False,True,False,,,Nepal only,Climbed,1980.0,Spring,May,3.0,KAN280101,Switzerland,"Daniel Chevallier, Pierre Galland",,1,1
KANB,Kangbachen,Kambachen,Kangchenjunga Himal (W Spur of Kangchenjunga),7902,25925,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,,,Nepal only,Climbed,1974.0,Spring,May,26.0,KANB74101,Poland,"Wojciech Branski, Wieslaw Klaput, Marek Malatynski, Kazimierz Olech, Zbigniew Rubinowski",,8,2
KANC,Kangchenjunga Central,,Kangchenjunga Himal (between Main and South summits),8473,27799,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,,,Nepal & India,Climbed,1978.0,Spring,May,22.0,KANC78102,Poland,"Wojciech Branski, Zygmunt Heinrich, Kazimierz Olech",Illegal ascent,3,4
KAND,Kande Hiunchuli,,Kanjiroba Himal (WNW of Kanjiroba),6627,21742,Kanjiroba,Kanjiroba-Far West,True,False,False,,,Nepal only,Climbed,1972.0,Autumn,Oct,18.0,KAND72301,Japan,"Toyokazu Hirota, Shigeru Kuwahata",1st ascent claimed (but perhaps climbed 6570m peak),4,1
KANG,Kangchenjunga,,Kangchenjunga Himal,8586,28169,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,,,Nepal & India,Climbed,1955.0,Spring,May,25.0,KANG55101,UK,"George Band, Joe Brown",,77,127
KANN,Kangchenjunga North,,Kangchenjunga Himal (small knob north of Main summit),7938,26043,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,,Opened in 2014,Nepal & India,Unclimbed,,,,,,,Unclimbed?,Possibly traversed on KANG ascents from north,0,0
KANS,Kangchenjunga South,,Kangchenjunga Himal,8476,27808,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,,,Nepal & India,Climbed,1978.0,Spring,May,19.0,KANS78101,Poland,"Eugeniusz Chrobak, Wojciech Wroz",,1,5
KANT,Kanti Himal,"Ronglai Kangri, Kaqur Kangri, Kubi Grangri",Kanti Himal (NNW of Kanjiroba on Tibetan border),6850,22474,Kanti/Palchung,Kanjiroba-Far West,True,False,False,,Opened in 2002,Nepal & China,Climbed,2002.0,Autumn,Sep,24.0,KANT02301,"Japan, Nepal","Toyoji Wada, Katsumi Nishida, Atsushi Senda, Hyosuke Tsuboi, Yusuke Ueda, Ang Mingm Sherpa, Karchen Dawa Sherpa, Nga Dorje Sherpa",Ascent was from Tibetan side,4,1
KAPT,Kaptang,,Kanti Himal (NW of Kanti Himal peak on Tibetan border),5965,19570,Kanti/Palchung,Kanjiroba-Far West,True,False,False,,Opened in 2002,Nepal & China,Climbed,2009.0,Summer,Jun,9.0,KAPT09201,"Japan, Nepal","Tamotsu Ohnishi, Toshitsugi Irizawa, Gombu Sherpa",,0,1
KARK,Karko,Kesang Khang,Saipal Himal (WNW of Saipal),6015,19734,Saipal,Kanjiroba-Far West,True,False,False,,Opened in 2002,Nepal only,Unclimbed,,,,,,,Unclimbed?,,0,0
KARS,Karsang Khang,UAAA Peak,Damodar Himal (NE of Saribung),6476,21247,Damodar,Annapurna-Damodar-Peri,True,False,False,,Opened in 2014,Nepal only,Unclimbed,,,,,,,Unclimbed,,0,0
KARY,Karyolung,,Rolwaling Himal (SE of Numbur),6530,21424,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,,,Nepal only,Climbed,1982.0,Autumn,Oct,31.0,KARY82301,"Japan, Nepal","Yoshiyuki Inoue, Masatoshi Iwasa, Hiroshi Nishie, Yogendra Thapa, Gita Bdr Joshi, Babu Ram Pun, Gore Tamang, Pemba Tshering Sherpa",,3,3
KASI,Kasi Dalpha,,Jagdula Lekh (S of Kande Huinchuli),6386,20951,Kanjiroba,Kanjiroba-Far West,True,False,False,,Opened in 2014,Nepal only,Unclimbed,,,,,,,Unclimbed,,0,0
KBNE,Kangbachen East,Kambachen East,Kangchenjunga Himal (plateau SE of Kangbachen?),7780,25525,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,,Opened in 2014,Nepal only,Unclimbed,,,,,,,Unclimbed,,0,0
KBON,Konabon,Kambon,Dhaulagiri Himal (SE of Gurja Himal),6570,21555,Dhaulagiri,Dhaulagiri-Mukut,True,False,False,,Opened in 2003,Nepal only,Unclimbed,,,,,,,Unclimbed,,0,0
KCHN,Kangchung Nup,"Khangchung Nup, Kangcho Nup, Cholo, Abi Peak",Khumbu Himal (NE of Gokyo Lake),6043,19826,Khumbu,Khumbu-Rolwaling-Makalu,False,True,False,,,Nepal only,Climbed,1953.0,Spring,Apr,4.0,KCHN53101,"UK, New Zealand","Edmund Hillary, Wilfred Noyce, Charles Wylie",,3,4
KCHS,Kangchung Shar,"Khangchung, Kangcho Shar, UIAA Peak",Khumbu Himal (NE of Gokyo Lake),6063,19892,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Opened in 2014,Nepal only,Climbed,1984.0,Autumn,Nov,1.0,KCHS84301,Yugoslavia,Francek Knez,Ascents reported by Jan Kielkowski: on 1 Nov 1984 by Francek Knez; on 21 Nov 1984 by Trevor Pilling,3,6
KGRI,Khangri Shar,,Khumbu Himal (W of Pumori),6792,22283,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Opened in 2002,Nepal only,Unclimbed,,,,,,,Unclimbed,,6,0
KGRW,Khangri West,,Khumbu Himal (W of Pumori),6658,21844,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Opened in 2002,Nepal only,Unclimbed,,,,,,,Unclimbed,,0,0
KGUR,Kang Guru,Naurgaon,Peri Himal (SW of Himlung Himal),6981,22904,Peri,Annapurna-Damodar-Peri,True,False,False,,,Nepal only,Climbed,1955.0,Summer,Jul,2.0,KGUR55201,W Germany,"Heinz Steinmetz, Fritz Lobbichler, Juergen Wellenkamp",,13,18
KHAM,Khamjung,"Khumjung, Khamjungar",Damodar Himal (W of Saribung and Bhrikuti),6759,22175,Damodar,Annapurna-Damodar-Peri,True,False,False,,Opened in 2002,Nepal only,Climbed,2023.0,Winter,Dec,21.0,KHAM23401,Nepal,"Pur Bahadur Gurung, Prakash Gurung",Likely climbed in 1982 by Japanese,5,1
KHAT,Khatang,,Rolwaling Himal (E of Numbur),6790,22277,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,,,Nepal only,Climbed,1982.0,Autumn,Oct,30.0,KHAT82301,"Japan, Nepal","Tatsumi Kawamura, Yoshimi Kitayama, Dorje Sherpa",,4,2
KHAY,Khayang,,Manaslu Himal (E of Samdo Peak on Tibetan border),6186,20295,Manaslu/Mansiri,Manaslu-Ganesh,True,False,False,,Opened in 2003,Nepal & China,Unclimbed,,,,,,,Unclimbed?,,1,0
KHNG,Khung,,Palchung Himal (NE of Kanjiroba on Tibetan border),6024,19764,Kanti/Palchung,Kanjiroba-Far West,True,False,False,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,,0,0
KHON,Khongma Tse,Mehra Peak,Khumbu Himal (SW of Nuptse),5798,19022,Khumbu,Khumbu-Rolwaling-Makalu,False,False,True,1978.0,,Nepal only,Climbed,,,,,,,1st ascent unknown,,0,0
KHUM,Khumbutse,,Khumbu Himal (NW of Lho La on Tibetan border),6639,21781,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,,Nepal & China,Climbed,1979.0,Spring,May,15.0,KHUM79101,Yugoslavia,Franz Knez,1989 Polish Everest team traversed S Smt of Khumbutse (~6400m),0,1
KIMS,Kimshung,"Kinshung, Tsangbu Ri",Langtang Himal (NE of Langtang Lirung),6781,22247,Langtang,Langtang-Jugal,False,True,False,,,Nepal only,Unclimbed,,,,,,,Unclimbed,,1,0
KIRA,Kirat Chuli,Tent Peak,Jongsang Himal (N of Kangchenjunga on Indian border),7362,24154,Jongsang,Kangchenjunga-Janak,True,False,False,,,Nepal & India,Climbed,1939.0,Spring,May,29.0,KIRA39101,"Switzerland, Germany","Ernst Grob, Herbert Paidar, Ludwig Schmaderer",,11,1
KJER,Kanjeralwa,"Kanjirowa, Kanchen Ruwa",Kanjiroba Himal (NW of Phoksumdo Tal),6612,21693,Kanjiroba,Kanjiroba-Far West,True,False,False,,,Nepal only,Climbed,1973.0,Spring,Apr,22.0,KJER73101,"Japan, Nepal","Yasuaki Goshima, Koichi Kyogoku, Mingma Tensing Sherpa, Mingma Tsering Sherpa",,1,3
KJRN,Kanjiroba North,,Kanjiroba Himal,6858,22500,Kanjiroba,Kanjiroba-Far West,True,False,False,,Opened in 2014,Nepal only,Unclimbed,,,,,,,Unclimbed,,3,0
KJRS,Kanjiroba South,Kanjiroba Main,Kanjiroba Himal,6883,22582,Kanjiroba,Kanjiroba-Far West,True,False,False,,One permit for Kanjiroba's north and south summits,Nepal only,Climbed,1970.0,Autumn,Nov,7.0,KJRS70301,Japan,"Hiroshi Okuda, Ichiryo Sato, Munehiro Sawada",,4,5
KNAG,Kang Nagchugo,Khang Nagchugo,Rolwaling Himal (E of Chekigo on Tibetan border),6737,22103,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,,Opened in 2002,Nepal & China,Climbed,2008.0,Autumn,Oct,17.0,KNAG08301,USA,"Joseph Puryear, David Gottlieb",,0,3
KNTC,Kanti Himal Churau,,Kanti Himal (NW of Kanti Himal on Tibetan border),6419,21060,Kanti/Palchung,Kanjiroba-Far West,False,True,False,,,Nepal & China,Unclimbed,,,,,,,Unclimbed,,0,0
KNTE,Kanti Himal East,,Kanti Himal (NW of Kanti Himal on Tibetan border),6516,21378,Kanti/Palchung,Kanjiroba-Far West,True,False,False,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,,0,0
KOGI,Kogi Khang North,Kogi Kang North,Kanti Himal (ESE of Kanti Himal peak on Tibetan border),6275,20587,Kanti/Palchung,Kanjiroba-Far West,True,False,False,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,,0,0
KOJI,Kojichuwa Chuli,,Kanti Himal (NNW of Kanti Himal peak on Tibetan border),6439,21125,Kanti/Palchung,Kanjiroba-Far West,True,False,False,,Opened in 2003,Nepal & China,Climbed,2010.0,Spring,May,25.0,KOJI10101,Japan,"Ken Fujikawa, Yuta Kawamura, Satoshi Kimoto",,4,2
KOJS,Kojichuwa South,,Kanti Himal (SW of Kojichuwa Chuli on Tibetan border),6264,20551,Kanti/Palchung,Kanjiroba-Far West,True,False,False,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,,0,0
KORL,Korlang Pari Tippa,Korlang Pari Tippa North,N of Lamabagar on Tibetan border,5738,18825,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,,Opened in 2014,Nepal only,Unclimbed,,,,,,,Unclimbed,,0,2
KOTA,Kotang,"Kokthang, Kothang Kang",Simhalila Himal (SSW of Rothang on Indian border),6148,20171,Kangchenjunga/Simhalila,Kangchenjunga-Janak,True,False,False,,,Nepal & India,Climbed,1982.0,Autumn,Oct,11.0,KOTA82301,India,"K. V. Cherian, Nima Tashi Sherpa, Ang Norbu, Ki Kami Sherpa",,4,9
KTEG,Kangtega,"Kantega, Khangtega, Kang Taiga",Khumbu Himal (SW of Ama Dablam),6783,22254,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,,Nepal only,Climbed,1963.0,Spring,Jun,5.0,KTEG63101,"New Zealand, USA","David Dornan, Tom Frost, Michael Gill, Jim Wilson",,17,12
KTOK,Kangtokal,Khang Tokal,Dhaulagiri Himal (on ridge N of Putha Hiunchuli),6294,20650,Dhaulagiri,Dhaulagiri-Mukut,True,False,False,,Opened in 1997,Nepal only,Climbed,1962.0,Spring,Jun,6.0,KTOK62101,"Japan, Nepal","Zenkichi Hirayama, Ang Temba Sherpa",,1,3
KTSU,Kangtsune,"Kangchunne, Kanchauni Lekh","Kagmara Lekh (SE of Kanjiroba, W of Kanjeralwa)",6444,21142,Kanjiroba,Kanjiroba-Far West,False,True,False,,,Nepal only,Unclimbed,,,,,,,Unclimbed,,1,0
KTUN,Khatung Khang,,Annapurna-Nilgiri Himal (SW of Thorong La),6484,21273,Annapurna,Annapurna-Damodar-Peri,True,False,False,,Opened in 2002,Nepal only,Climbed,1956.0,Spring,Apr,12.0,KTUN56101,Switzerland,"Arthur Baumgartner, Marguerite Deriaz",,4,3
KUML,Kumlung,Kang Kuru?,Damodar Himal (NE of Saribung and W of Bhrikuti),6355,20850,Damodar,Annapurna-Damodar-Peri,True,False,False,,Opened in 2002,Nepal only,Climbed,2008.0,Autumn,Oct,14.0,KUML08301,France,"Paulo Grobel, Paul Vulin",,0,1
KUSU,Kusum Kanguru,"Kusum Kang, Lamu",Khumbu Himal (NE of Lukla village),6370,20899,Khumbu,Khumbu-Rolwaling-Makalu,False,False,True,1978.0,,Nepal only,Climbed,1981.0,Autumn,Oct,7.0,KUSU81302,New Zealand,Bill Denz,,10,12
KWAN,Kwangde,,Rolwaling Himal (W of Namche Bazar),6186,20295,Rolwaling,Khumbu-Rolwaling-Makalu,False,False,True,1978.0,,Nepal only,Climbed,1978.0,Autumn,Nov,11.0,KWAN78301,Japan,"Takashi Iwahashi, Yoshihisa Ishikawa, Seiji Ogawa",,3,7
KYAB,Kyabura,,Janak Himal (SW of Dzanye on Tibetan border),6466,21214,Janak/Ohmi Kangri,Kangchenjunga-Janak,True,False,False,,Opened in 2002,Nepal only,Climbed,2023.0,Autumn,Nov,2.0,KYAB23301,"UK, France, Portugal, Switzerland","Bruce Normand, Thomas Heidt, Sebastien Moatti, Diogo Da Silva Santos, Sarah Marti",,0,1
KYAS,Kyashar,"Peak 43, Tangnag Tseng",Khumbu Himal (S of Kantega),6770,22211,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Opened in 2002,Nepal only,Climbed,2003.0,Autumn,Oct,18.0,KYAS03301,"UK, Austria, Swiss","Bruce Normand, Sam Broderick, Andreas Frank",,8,2
KYAZ,Kyazo Ri,Kyajo Ri,Khumbu Himal (SW of Gokyo Lake),6151,20180,Khumbu,Khumbu-Rolwaling-Makalu,False,False,True,2002.0,Opened in 2002 as trekking peak,Nepal only,Climbed,2002.0,Autumn,Oct,20.0,KYAZ02301,"UK, France","Duncan Wilson, Vincent Marche",,1,5
KYR1,Kyungka Ri 1,Kyungya Ri 1,Langtang Himal (NE of Shalbachum near Tibetan border),6599,21650,Langtang,Langtang-Jugal,True,False,False,,Opened in 2003,Nepal only,Climbed,2017.0,Autumn,Oct,15.0,KYR117301,S Korea,"Han San-Hum, Oh Chi-Wan",Ascent claimed by Italians in 1963 (Lino Andreotti) by likely on different peak,1,1
KYR2,Kyungka Ri 2,Kyungya Ri 2,Langtang Himal (NE of Shalbachum on Tibetan border),6506,21345,Langtang,Langtang-Jugal,True,False,False,,Opened in 2003,Nepal & China,Climbed,2020.0,Winter,Dec,11.0,KYR220401,"Switzerland, Nepal","Sphie Lavaud, Dawa Sange Sherpa, Mingma Sherpa, Tenjing Sherpa",,0,1
LAMJ,Lamjung Himal,,Annapurna Himal (SE of Annapurna II),6983,22910,Annapurna,Annapurna-Damodar-Peri,True,False,False,,,Nepal only,Climbed,1974.0,Spring,Apr,25.0,LAMJ74101,UK,"Derrick Chamberlain, Phillip Neame",,5,6
LAMP,Lampo,"Langpo Kangri, Ganesh VI",Ganesh Himal (N of Ganesh I on Tibetan border),6648,21811,Ganesh/Shringi,Manaslu-Ganesh,False,True,False,,,Nepal & China,Unclimbed,,,,,,,Unclimbed,,1,0
LANG,Langtang Lirung,Langtang,Langtang Himal,7227,23711,Langtang,Langtang-Jugal,True,False,False,,,Nepal only,Climbed,1978.0,Autumn,Oct,24.0,LANG78301,"Japan, Nepal","Seishi Wada, Pemba Tsering Sherpa",,37,14
LANR,Langtang Ri,,Langtang Himal (NE of Langtang Lirung on Tibetan border),7205,23638,Langtang,Langtang-Jugal,True,False,False,,,Nepal & China,Climbed,1981.0,Autumn,Oct,10.0,LANR81301,"Japan, Nepal","Soichi Nasu, Makihiro Wakao, Noboru Yamada, Ang Rinji Sherpa",,6,4
LANY,Langtang Yubra,Yubra Himal,Langtang Himal (ENE of Langtang Lirung),6048,19843,Langtang,Langtang-Jugal,False,False,True,,Opened in 2016,Nepal only,Climbed,2018.0,Autumn,Oct,21.0,LANY18301,"Australia, Netherands, Nepal","Karen De Lathouder, Elizabeth Finden, Edith Jankowski, Chris Jones, Warren Townsden, Lhakpa Nuru Sherpa, Mingma Sherpa, Nawang Sherpa, Phurba Sherpa, Sona Sherpa",It is unclear from leader's photo whether the team climbed Langtang Yubra or a ridge between Langtang Yubra and Yubra (6264m),1,1
LARK,Larkya Peak,"Granite Peak, Naike Peak",Manaslu Himal (N of Manaslu North),6416,21050,Manaslu/Mansiri,Manaslu-Ganesh,False,False,True,,,Nepal only,Climbed,2017.0,Autumn,Sep,27.0,LARK17301,Georgia,"Archil Badriashvili, Giorgi Tepnadze, Bakar Gelashvili",,0,2
LAS2,Lashar II,Loshar II,Janak Himal (SW of Ghhanyala Hies on Tibetan border),6803,22320,Janak/Ohmi Kangri,Kangchenjunga-Janak,True,False,False,,Opened in 2002,Nepal & China,Unclimbed,,,,,,,Unclimbed,,1,0
LASA,Lasa,,Byas Risi Himal (NNW of Nampa on Tibetan border),6189,20305,Api/Byas Risi/Guras,Kanjiroba-Far West,True,False,False,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,,0,0
LASH,Lashar I,Loshar I,Janak Himal (NW of Lashar II on Tibetan border),6842,22448,Janak/Ohmi Kangri,Kangchenjunga-Janak,True,False,False,,Opened in 2002,Nepal & China,Climbed,2005.0,Autumn,Oct,12.0,LASH05301,Slovenia,"Andrej Stremfelj, Miha Habjan",,0,1
LCHA,Lachama Chuli,"Kubi Kangri, Kubi Dongdong",Changla Himal (N of Gorakh Himal on Tibetan border),6721,22051,Nalakankar/Chandi/Changla,Kanjiroba-Far West,True,False,False,,Opened in 2003,Nepal & China,Climbed,2007.0,Autumn,Sep,14.0,LCHA07301,Japan,"Atsushi Senda, Ryouta Fujii, Keizou Ishikawa, Hiroshi Kobayashi, Kouhei Kotani, Naoki Shimozato, Yuhki Tani",,3,1
LCHN,Lachama North,,Changla Himal (N of Lachama Chuli on Tibetan border),6628,21745,Nalakankar/Chandi/Changla,Kanjiroba-Far West,True,False,False,,Opened in 2014,Nepal & China,Unclimbed,,,,,,,Unclimbed,,2,0
LDAK,Langdak,,Rolwaling Himal (N of Raungsiyar and Pimu),6220,20407,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,,Opened in 2014,Nepal only,Climbed,2015.0,Autumn,Oct,5.0,LDAK15301,Nepal,"Dawa Gyalje Sherpa, Nima Tenji Sherpa, Tashi Sherpa",,0,4
LDNG,Langdung,Ripumutse,Rolwaling Himal (WSW of Ripimo Shar on Tibetan border),6326,20755,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,,Opened in 2014,Nepal & China,Climbed,2017.0,Winter,Dec,20.0,LDNG17401,Nepal,"Nima Tenji Sherpa, Dawa Gyalje Sherpa, Dawa Yangzum Sherpa, Pasang Kitar Sherpa",,5,3
LEOE,Leonpo Gang East,Gyalgen Peak,Jugal Himal (NE of Leonpo Gang on Tibetan border),6733,22090,Jugal,Langtang-Jugal,True,False,False,,Opened in 2014,Nepal & China,Climbed,1955.0,Spring,May,11.0,LEOE55101,"UK, Nepal","Monica Jackson, Elizabeth Stark, Mingma Gyalgen Sherpa, Ang Temba Sherpa",Peak named after sirdar Mingma Gyalgen Sherpa,1,3
LEON,Leonpo Gang,"Dorje Pahad, Big White Peak",Jugal Himal (NNE of Dorje Lhakpa on Tibetan border),6979,22897,Jugal,Langtang-Jugal,True,False,False,,,Nepal & China,Climbed,1962.0,Spring,May,3.0,LEON62101,Japan,"Tadashi Morita, Kazunari Yasuhisa",,5,4
LHAS,Lha Shamma,"Lhasharma, Pinnacle Peak","Kagmara Lekh (S of Kanjiroba, NNW of Kagmara I)",6412,21037,Kanjiroba,Kanjiroba-Far West,True,False,False,,Opened in 2014,Nepal only,Climbed,1962.0,Spring,May,14.0,LHAS62101,"UK, Nepal","Josephine Scarr, Barbara Spark, Mingma Tsering Sherpa, Pemba Norbu Sherpa",,1,1
LHAY,Lhayul Peak,,Api Himal (SW of Api Main),6395,20981,Api/Byas Risi/Guras,Kanjiroba-Far West,True,False,False,,Opened in 2002,Nepal only,Unclimbed,,,,,,,Unclimbed,,1,0
LHOM,Lhotse Middle,Lhotse Intermediate,Khumbu Himal (E of Lhotse),8410,27592,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Opened in 2001,Nepal & China,Climbed,2001.0,Spring,May,23.0,LHOM01101,Russia,"Sergei Timofeev, Alexei Bolotov, Piotr Kouznetsov, Evgeni Vinogradski",,0,1
LHOT,Lhotse,,Khumbu Himal,8516,27940,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,,Nepal & China,Climbed,1956.0,Spring,May,18.0,LHOT56101,Switzerland,"Fritz Luchsinger, Ernst Reiss",,194,318
LIK1,Linkhu Chuli Shar,"Bigphera-Go Shar, Pigpferago Shar, Linkhu Chuli I",Rolwaling Himal (S of Parchamo),6719,22044,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,,Opened in 2003,Nepal only,Climbed,2013.0,Autumn,Nov,13.0,LIK113301,Germany,Ines Papert,,1,1
LIK2,Linkhu Chuli Nup,"Bigphera-Go Nup, Pigpferago Nup, Linkhu Chuli II","Rolwaling Himal (SSW of Parchamo, W of Likhu Chuli Shar)",6659,21847,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,,Opened in 2003,Nepal only,Climbed,1960.0,Autumn,Oct,21.0,LIK260301,"France, Nepal","Alain Barbezat, Cecile Barbezat, Nawang Dorje Sherpa",,2,2
LING,Lingtren,,Khumbu Himal (ENE of Pumori on Tibetan border),6713,22024,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Opened in 2002,Nepal & China,Climbed,1935.0,Summer,Aug,,LING35201,UK,"Eric Shipton, Dan Bryant",,1,1
LMOC,Langmoche Ri,,Rolwaling Himal (N of Tesi Laptsa),6552,21496,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,,Opened in 2002,Nepal only,Climbed,2012.0,Autumn,Nov,17.0,LMOC12301,USA,"Roberto Villanueva, Alan Rousseau",,1,1
LNAK,Lhonak,Rifil Peak,Janak Himal (WNW of Drohmo),6070,19915,Janak/Ohmi Kangri,Kangchenjunga-Janak,True,False,False,,Opened in 2014,Nepal only,Unclimbed,,,,,,,Unclimbed,,1,0
LNGK,Langchung Khang,Langpo Chung,Jongsang Himal (NW of Langpo on Indian border),6786,22264,Jongsang,Kangchenjunga-Janak,True,False,False,,Opened in 2002,Nepal & China,Unclimbed,,,,,,,Unclimbed?,,0,0
LNJU,Langju,Lajo Dada,Shringi Himal (S of Tobsar),6426,21083,Ganesh/Shringi,Manaslu-Ganesh,True,False,False,,Opened in 2014,Nepal only,Climbed,2017.0,Autumn,Oct,17.0,LNJU17301,Japan,"Norifumi Fukuda, Kojuro Hagihara, Yudai Suzuki",,2,1
LNKE,Lunchhung Kamo East,,Kanti Himal (SE of Danfe Sail on Tibetan border),6024,19764,Kanti/Palchung,Kanjiroba-Far West,False,True,False,,,Nepal only,Climbed,1999.0,Summer,Jul,9.0,LNKE99201,"Japan, Nepal","Tamotsu Ohnishi, Takehiko Yanagihara, Chuldim Nuru Sherpa, Kancha Dawa Sherpa",,0,2
LNPO,Langpo,Longpo,Jongsang Himal (SE of Jongsang on Indian border),6965,22851,Jongsang,Kangchenjunga-Janak,True,False,False,,,Nepal & India,Climbed,1909.0,Autumn,Sep,14.0,LNPO09301,UK,A. M. Kellas,,0,2
LNPS,Langpo South,,Jongsang Himal (SE of Langpo on Indian border),6857,22497,Jongsang,Kangchenjunga-Janak,False,True,False,,,Nepal & India,Climbed,1939.0,Summer,Aug,19.0,LNPS39201,"Switzerland, Germany","Ernt Grob, Herbert Paidar, Ludwig Schmaderer",,0,2
LOBE,Lobuche East,Lobuje East,Khumbu Himal (SW of Pumori),6119,20075,Khumbu,Khumbu-Rolwaling-Makalu,False,False,True,1978.0,,Nepal only,Climbed,1984.0,Spring,Apr,25.0,LOBE84101,"USA, Nepal","Larry Nielson, Any Gyaltsen Sherpa",Possibly climbed by Japanese in 1979 (unverified),0,12
LOBW,Lobuche West,Lobuje West,Khumbu Himal (SW of Pumori),6135,20128,Khumbu,Khumbu-Rolwaling-Makalu,False,False,True,2002.0,Converted to trekking peak in 2002,Nepal only,Climbed,1984.0,Autumn,Sep,28.0,LOBW84301,Japan,"Yuji Kawakura, Yoshihiro Taguchi",,1,3
LSAM,Lungsampa,"Lung Sampa, Lumsumna",Khumbu Himal (S of Nangpai Gosum II),6500,21325,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Opened in 2002,Nepal only,Climbed,1981.0,Spring,,,CHOY81101,Japan,,Climbed by several team enroute to Cho Oyu (see Peak Notes),0,0
LSHR,Lhotse Shar,Lhotse II,Khumbu Himal (ESE of Lhotse and Lhotse Middle),8382,27500,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,,Nepal & China,Climbed,1970.0,Spring,May,12.0,LSHR70101,Austria,"Josef Mayerl, Rolf Walter",,27,9
LSIS,Langshisa Ri,Langsisa Ri,Jugal Himal (NW of Dorje Lhakpa),6412,21037,Jugal,Langtang-Jugal,False,False,True,2002.0,Converted to trekking peak in 2002,Nepal only,Climbed,1982.0,Spring,Apr,23.0,LSIS82101,"Japan, Nepal","Takuya Kajimoto, Pasang Norbu Sherpa",,5,8
LUGU,Lugula,,Damodar Himal (E of Bhrikuti Sail on Tibetan border),6899,22635,Damodar,Annapurna-Damodar-Peri,True,False,False,,Opened in 2014,Nepal & China,Climbed,2010.0,Autumn,Nov,2.0,LUGU10301,France,Renald Guillaune,1st official ascent in Spring 2014 by S Koreans,0,3
